date,NO,NO1,NO2,NO3,NO4,NO5
45 - 21,62233,4795,21490,7325,17171,11591
44 - 21,62938,4937,21594,7448,17270,11829
43 - 21,62240,4838,20850,7493,17357,11858
42 - 21,59544,4774,19535,7077,17196,11130
41 - 21,58829,4795,19237,6818,17304,10842
40 - 21,58005,4823,19102,6500,17145,10585
39 - 21,56528,4539,18628,6458,16889,10176
38 - 21,54837,4217,17712,6507,16839,9741
37 - 21,55102,4298,18005,6492,16877,9615
36 - 21,56602,4398,18780,6644,17056,9901
35 - 21,57134,4537,19389,6521,16780,10058
34 - 21,58136,4685,20048,6500,16585,10447
33 - 21,59014,4766,20741,6417,16594,10605
32 - 21,59495,4758,21362,6225,16599,10641
31 - 21,59880,4772,21714,6235,16557,10683
30 - 21,60563,4771,22088,6409,16633,10746
29 - 21,59837,4590,21876,6499,16554,10416
28 - 21,59848,4641,22365,6589,15860,10473
27 - 21,59241,4607,22578,6592,15254,10277
26 - 21,57606,4491,22146,6548,14648,9838
25 - 21,57058,4483,22477,6561,14168,9426
24 - 21,55110,4277,22317,6318,13512,8734
23 - 21,51348,4017,21404,5737,12652,7573
22 - 21,46622,3665,20617,4964,11144,6233
21 - 21,41378,3119,19277,4108,9995,4862
20 - 21,37251,2460,17741,3439,9532,4064
19 - 21,33262,1531,16514,2724,8911,3554
18 - 21,30709,906,15315,2305,8959,3205
17 - 21,32303,946,15959,2541,9366,3474
16 - 21,34730,1036,17019,2870,9826,3968
15 - 21,36245,1069,17699,3016,10163,4285
14 - 21,38590,1205,18758,3270,10527,4809
13 - 21,40048,1312,19274,3426,10818,5196
12 - 21,39598,1389,18524,3470,10915,5292
11 - 21,41159,1587,19182,3551,11123,5698
10 - 21,43735,1858,20224,3771,11543,6312
09 - 21,45939,2095,20989,3999,11991,6835
08 - 21,48057,2352,21957,4063,12194,7441
07 - 21,48937,2596,21982,4151,12413,7747
06 - 21,51783,2851,22999,4497,12985,8402
05 - 21,55247,3212,24315,4888,13504,9272
04 - 21,58506,3569,25488,5300,14056,10035
03 - 21,62140,3912,26816,5747,14690,10913
02 - 21,64750,4171,27609,6130,15228,11554
01 - 21,68153,4533,28782,6565,15790,12423
53 - 20,71506,4868,29932,7037,16349,13260
52 - 20,74202,5109,30773,7424,16892,13945
51 - 20,75780,5263,31095,7638,17328,14405
50 - 20,77514,5433,31432,7903,17845,14860
49 - 20,80113,5611,32351,8213,18379,15515
48 - 20,82308,5764,33124,8485,18816,16076
47 - 20,83280,5906,33356,8606,19091,16278
46 - 20,81680,5791,32589,8489,19009,15777
